ID	Name	UiID	RepresentID	ColorID	ColorID1	ColorID2	Genre	SubType	DetailType	Price	Level	BindType	MaxDurability	AbradeRate	MaxExistTime	MaxExistAmount	CanTrade	CanDestroy	SetID	ScriptName	Quality	Base1Type	Base1Min	Base1Max	Base2Type	Base2Min	Base2Max	Base3Type	Base3Min	Base3Max	Base4Type	Base4Min	Base4Max	Base5Type	Base5Min	Base5Max	Base6Type	Base6Min	Base6Max	Require1Type	Require1Value	Require2Type	Require2Value	Require3Type	Require3Value	Require4Type	Require4Value	Require5Type	Require5Value	Require6Type	Require6Value	Magic1Type	Magic2Type	Magic3Type	Magic4Type	Magic5Type	Magic6Type	Magic7Type	Magic8Type	Magic9Type	Magic10Type	Magic11Type	Magic12Type	Magic13Type	Magic14Type	Magic15Type	Magic16Type	SkillID	SkillLevel	BelongSchool	MagicKind	MagicType	GetType	_CATEGORY	CoolDownID	IconTag1	IconTag2	IsSpecialIcon	IsSpecialRepresent	IconID	CanSetColor	AucGenre	AucSubType	RequireCamp	RequireProfessionID	RequireProfessionLevel	RequireProfessionBranch	PackageGenerType	PackageSubType	TargetType	EnchantRepresentID1	EnchantRepresentID2	EnchantRepresentID3	EnchantRepresentID4	ExistType	EquipCoolDownID	RecommendID	DiamondTypeMask1	DiamondAttributeID1	DiamondTypeMask2	DiamondAttributeID2	DiamondTypeMask3	DiamondAttributeID3	MaxStrengthLevel	CanApart	IgnoreBindMask	CanExterior	BelongForceMask	MapBanUseItemMask	Represent1	SpecialRepair	CanChangeMagic	GrowthTabIndex	NeedGrowthExp	CanShared	MapBanTradeItemMask	MapCanExistItemMask	MapBanEquipItemMask	EquipUsage	RepairPriceRebate	AucMountRecommendMask
32	测试马道具2	3091	2	0			0	15	0	0	1	1	1050	0					0	scripts\Map\世界通用\item\装备马匹学习骑术.lua	1	atMoveSpeedPercent	614	614	atInvalid			atInvalid												0	0											25184	0	0	0	0	0	0	0	0	0	0	0												0			1		0		5	1	7												736								0	0	0		67108863				0							1		
33	小书包	14532	0	0			0	12	4	3000		3	14	0			0	1			2	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7				4	-1							736	0	0	0	0	0	0	0		0	0		67108863				0							1		
34	黄花梨笈	18677						12	4	44800		2	26	0							3	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0																			6	1	7				4	-1							736	0	0	0	0	0	0	0		0	0		67108863				0							1		
35	长空锦囊	2546						12	0	8400		3	16	0							3	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0																			6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1		
36	雪魔袋	2559						12	0	8400		3	16	0							3	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0																			6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1		
37	百花草药包	19268		0			0	12	2	28000		2	22	0			1	1			2	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7				3	2							736	0	0	0	0	0	0	0		0	0		67108863				0							1		
38	百编金石包	19269		0			0	12	1	28000		2	22	0			1	1			2	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7				3	1							736	0	0	0	0	0	0	0		0	0		67108863				0							1		
39	大厨的面粉袋	20038	0	0			0	12	0	6000	1	3	16	0	0	1	0	1	0	0	2	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	5	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——					0			1	0	0	1	6	1	7	0	0	0	-1	-1	0						736	0	0	0	0	0	0	0		0	0		67108863				0							1		
40	大厨的果蔬袋	20039	0	0			0	12	0	16800	1	3	18	0	0	1	0	1	0	0	3	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	5	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——					0			1	0	0	1	6	1	7	0	0	0	-1	-1	0						736	0	0	0	0	0	0	0		0	0		67108863				0							1		
41	月光宝盒·甲	19662		0			0	12	0	16800		3	18	0		1	0				3	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1		
42	年兽陶罐·甲	19663		0			0	12	0	16800		3	18	0		1	0				3	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1		
43	毛茸茸的皮袋·甲	19664		0			0	12	0	21600		3	18	0		1	0				4	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1		
44	天工锦缎皮包	19997		0			0	12	0			3	20	0		0	1				3	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1		
45	天工蛛丝皮包	19998		0			0	12	0	39200		3	22	0		0	1				3	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1		
46	糖果包	2231		0			0	12	0	8400		3	16	0		1	0				3	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1		
47	琴儿梳妆袋 	21169	0	0			0	12	0	16800	1	3	18	0	0	1	1	1	0	0	3	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736									0	0		67108863				0							1		
48	傲游的面粉袋	3359	0	面粉袋·寅虎			0	12	0	28000	1	3	20	0	0	1	0	1	0	0	3	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	5	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	atInvalid					0			1	0	0	1	6	1	7	0	0	0	-1	-1	0						736	0	0	0	0	0	0	0		0	0		67108863				0							1		
49	傲游的果蔬袋	3360	0	果蔬袋·寅虎			0	12	0	50400	1	3	22	0	0	1	0	1	0	0	4	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	5	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	atInvalid					0			1	0	0	1	6	1	7	0	0	0	-1	-1	0						736	0	0	0	0	0	0	0		0	0		67108863				0							1		
50	月光宝盒·乙	22527		0			0	12	0	28000		3	20	0		1	0				3	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1		
51	年兽陶罐·乙	22528		0			0	12	0	28000		3	20	0		1	0				3	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1		
52	毛茸茸的皮袋·乙	22529		0			0	12	0	50400		3	22	0		1	0				4	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1		
53	蜀染布包	5120		0			0	12	0	39200	80	2	22	0			0				3	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1		
54	天工染布包	5121		0			0	12	0	54000	80	2	24	0			0				4	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1		
55	蛋叉叔叔的糖果包·甲	5136	0	0			0	12	0	50400	200	3	22	0	0	1	1	1	0	0	4	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	5	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863				1							1		
56	兰夜锦盒·甲	5173		0			0	12	0	50400	20	3	22	0		1	0				4	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0												0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1		
57	果蔬袋·甲	5286	0	0			0	12	0	39200	1	3	22	0	0	1	1	1	0	0	3	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	5	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0			0							1		
58	月光宝盒·丙	5304	0	0			0	12	0	39200	1	3	22	0	0	1	1	1	0	0	3	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0			0							1		
59	年兽陶罐·丙 	5305	0	0			0	12	0	39200	1	3	22	0	0	1	1	1	0	0	3	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0			0							1		
60	毛茸茸的皮袋·丙 	5306	0	0			0	12	0	54000	1	3	24	0	0	1	1	1	0	0	4	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0			0							1		
61	蛋叉叔叔的糖果包·乙	5429	0	0			0	12	0	54000	200	3	24	0	0	1	1	1	0	0	4	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	5	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863				1							1		
62	红竹锦盒	5486		0			0	12	0	50400	20	3	22	0		1	0				4	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										5	20											0	0	0	0	0	0	0	0	0	0	0	0										未知		0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1		
63	果蔬袋·乙	71684	0	0			0	12	0	42000	1	3	24	0	0	1	1	1	0	0	3	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0		0	0							1		
64	蜀染布包	71712	0	0			0	12	0	39200	1	3	22	0	0	0	1	1	0	0	3	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0		0	0							1		
65	年兽陶罐·丁	71888	0	0			0	12	0	39200	1	3	22	0	0	1	1	1	0	0	3	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0		0	0							1		
66	月光宝盒·丁	71889	0	0			0	12	0	42000	1	3	24	0	0	1	1	1	0	0	3	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0		0	0							1		
67	毛茸茸的皮袋·丁	71890	0	0			0	12	0	54000	1	3	24	0	0	1	1	1	0	0	4	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0		0	0							1		
68	玲珑囊	5780	0	0			0	12	0	64800	200	3	30	0	0	1	1	1	0	0	4	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	5	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863				1							1		
69	梨绒落绢包	73266	0	0			0	12	0	42000	1	2	24	0	0	0	1	1	0	0	3	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0		0	0							1		
70	落花碧绒包	73267	0	0			0	12	0	57600	1	2	26	0	0	0	1	1	0	0	4	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0		0	0							1		
71	沧浪何清包	73506	0	0			0	12	0	42000	1	3	24	0	0	1	1	1	0	0	3	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0		0	0							1		
72	浴兰沐芳包	73507	0	0			0	12	0	57600	1	3	26	0	0	1	1	1	0	0	4	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0		0	0							1		
73	兰夜锦盒·乙	5812		0			0	12	0	57600	20	3	26	0		1	0				4	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0										未知		0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1		
74	珐月浮蕊包	73836	0	0			0	12	0	50400	1	3	22	0	0	0	1	1	0	0	4	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0		0	0							1		
75	果蔬袋·丙	74238	0	0			0	12	0	44800	1	3	26	0	0	1	1	1	0	0	3	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0		0	0							1		
76	佳辰如意包	73507	0	0			0	12	0	57600	1	3	26	0	0	1	1	1	0	0	4	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0		0	0							1		
77	小月的包包	5841		0			0	12	0	12		3	6	0			0	1			1	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0										未知		0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1		
78	兰夜锦盒·丙	5842		0			0	12	0	57600	20	3	26	0		1	0				4	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0										未知		0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1		
79	果蔬带·丁	74577	0	0			0	12	0	44800	1	3	26	0	0	1	1	1	0	0	3	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0		0	0							1		
80	毛茸茸的皮袋·己	74578	0	0			0	12	0	61200	1	3	28	0	0	1	1	1	0	0	4	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0		0	0							1		
81	月光宝盒·己	74579	0	0			0	12	0	44800	1	3	26	0	0	1	1	1	0	0	3	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0		0	0							1		
82	佳辰如意包	74580	0	0			0	12	0	61200	1	3	28	0	0	1	1	1	0	0	4	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0		0	0							1		
83	兰夜锦盒·丁	5866		0			0	12	0	61200	20	3	28	0		1	0				4	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0										0												0	0	0	0	0	0	0	0	0	0	0	0										未知		0			1		0		6	1	7												736	0	0	0	0	0	0	0		0	0		67108863				0							1		
84	果蔬袋·戊	74582	0	0			0	12	0	47600	1	3	28	0	0	1	1	1	0	0	3	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0		0	0							1		
85	毛茸茸的皮袋·庚	74583	0	0			0	12	0	64800	1	3	30	0	0	1	1	1	0	0	4	atInvalid			atInvalid			atInvalid			atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	——	通用	基础	未知	其他	0			0	0	0	1	6	1	7	0	0	0	-1	-1	0	0	0	0	0	0	736								0	0	0		67108863	0		0	0							1		
