BuffID	Level	IconID	Sparking	ShowTime	Show	Remark	Name	Desc	IsAddPeriod	TypeIconID
70049	1	1506	1	1	1	(70049)(1)移动端_雷霆震怒_控制效果	雷霆震怒·眩晕	眩晕效果，不可移动	1	8
70050	1	1506	1	1	1	(70050)(1)移动端_雷霆震怒_降低攻击	雷霆震怒·秘章	伤害与治疗能力降低	1	6
70051	1	1503	1	1	1	(70051)(1)移动端_点绛唇_增加移速	天地低昂·悟·绝篇	移速提升	1	3
70052	1	638	1	1	1	(70052)(1)突_免疫控制4秒	突	不受控制招式效果影响	1	2
70053	1	100039	1	1	1	(70053)(1)阳明增伤	阳明	阳明指伤害提高100%	1	
70059	1	637	1	1	1	(70059)(1)傲血_龙牙秘籍_封轻功2秒	龙牙	无法施展轻功	1	
70060	1	640	1	1	1	(70060)(1)傲血_任驰骋_攻击力提升	驰骋	外功基础攻击提高15%	1	
70060	2	640	1	1	1	(70060)(2)傲血_任驰骋_攻击力提升	驰骋	外功基础攻击提高30%	1	
70061	1	641	1	1	1	(70061)(1)傲血_任驰骋秘籍_移速提高	飞遁	骑乘速度提高50%	1	
70063	1	100031	1	1	1	(70063)(1)傲血_霹雳秘籍_会心提高	霹雳·会心	会心率提高20%	1	
70064	1	9521	1	1	1	(70064)(1)傲血_沧月秘籍_破军标记	破军	受到该效果添加者招式攻击时额外触发一次外功伤害	1	
70066	1	907	1	1	1	(70066)(1)移动端_婆罗门_状态提升	袖气·悟	基础属性获得提升	1	2
70068	1	4499	1	1	1	(70068)(1)立地成佛加疗伤成效	悟·立地成佛·承疗	每层提高被疗伤成效4%	1	2
70069	1	100032	1	1	1	(70069)(1)傲血_沧月秘籍_免控和减伤	沧月	免疫控制，受到的伤害降低30%。	1	2
70070	0	2951	1	1	1	(70070)(0)移动端_上元点鬟_缓急标记	上元点鬟·秘章	上元点鬟·悟的首次治疗效果提升	1	1
70071	1	4553	1	1	1	(70071)(1)普渡四方增加内外防	悟·普渡四方·防御	每层提高内功和外功防御等级2%	1	2
70072	1	100034	1	1	1	(70072)(1)傲血_战八方秘籍_伤害叠加	连战	每层使【战八方·悟】伤害提高10%	1	
70072	2	100034	1	1	1	(70072)(2)傲血_战八方秘籍_伤害叠加	连战	战八方·悟伤害提高20%	1	
70072	3	100034	1	1	1	(70072)(3)傲血_战八方秘籍_伤害叠加	连战	战八方·悟伤害提高30%	1	
70072	4	100034	1	1	1	(70072)(4)傲血_战八方秘籍_伤害叠加	连战	战八方·悟伤害提高40%	1	
70072	5	100034	1	1	1	(70072)(5)傲血_战八方秘籍_伤害叠加	连战	战八方·悟伤害提高10%	1	
70074	1	1503	1	1	1	(70074)(1)移动端_两生_被击闪避	两生·悟	闪避概率提升	1	2
70081	1	7482	1	1	1	(70081)(1)灵山施雨	悟·灵山施雨	伤害反弹提高39%	1	13
70081	2	7482	1	1	1	(70081)(2)灵山施雨	悟·灵山施雨	伤害反弹提高50%	1	13
70082	1	7482	1	1	1	(70082)(1)灵山施雨回血	悟·灵雨	被攻击有25%几率获得缓慢恢复气血的效果	1	4
70082	2	7482	1	1	1	(70082)(2)灵山施雨回血	悟·灵雨	被攻击有50%几率获得缓慢恢复气血的效果	1	4
70083	1	657	1	1	1	(70083)(1)傲血_奇穴_啸如虎CD	嘶哑	无法触发“啸如虎”效果	1	
70084	1	419	1	1	1	(70084)(1)韦陀献杵减伤	韦陀献杵·减伤	受到伤害降低30%	1	2
70085	1	1457	1	1	1	(70085)(1)傲血_奇穴_啸如虎假死触发瞬间不会重伤	啸如虎	不会重伤，受到的治疗效果提高20%。	1	
70086	1	419	1	1	1	(70086)(1)韦陀献杵增加破招	悟·韦陀献杵·破招	破招提高10%	1	1
70088	1	433	1	1	1	(70088)(1)万佛朝宗群嘲	万佛朝宗	强制目标	1	
70090	1	640	1	1	1	(70090)(1)傲血_奇穴_骑乘状态伤害叠加	驰骋	每层使自身外功伤害提高5%	1	
70091	1	433	1	1	1	(70091)(1)万佛朝宗提高血上限	万佛朝宗·气血上限	基础气血上限提高20%	1	2
70092	1	433	1	1	1	(70092)(1)万佛朝宗减伤	万佛朝宗·减伤	每层使自身受到的伤害降低10%	1	2
70093	1	647	1	1	1	(70093)(1)傲血_奇穴_马下技能叠伤害和减伤	骁勇	每层提高自身5%外功伤害，受到的伤害降低2%。	1	
70094	1	620	1	1	1	(70094)(1)移动端_三环套月_断篇_伤害化解	伤害化解	化解受到的伤害	1	2
70096	1	6345	1	1	1	(70096)(1)	移速降低	移速降低	1	8
70098	0	438	1	1	1	(70098)(0)般若诀	悟·般若诀·自身	外功防御等级提高<BUFF atPhysicsShieldBase>点，内功防御等级提高<BUFF atMagicShield>点	1	
70099	1	438	1	1	1	(70099)(1)般若诀队友	悟·般若诀·队友	外功防御等级提高<BUFF atPhysicsShieldBase>点，内功防御等级提高<BUFF atMagicShield>点	1	
70100	1	2972	1	1	1	(70100)(1)般若诀无敌	悟·般若诀·无敌	不受任何伤害，无法移动	1	
70101	1	421	1	1	1	(70101)(1)锻骨决回血	悟·锻骨诀·回血	气血上限提高20%，每秒恢复2%气血最大值	1	4
70103	1	421	1	1	1	(70103)(1)锻骨决小队减伤	悟·锻骨诀·减伤	受到的伤害降低20%	1	2
70105	1	430	1	1	1	(70105)(1)大狮子吼眩晕效果	悟·大狮子吼	眩晕	1	
70106	1	7510	1	1	1	(70106)(1)南风吐月	南风吐月	无法移动但是免疫所有负面效果	1	
70107	1	1522	1	1	1	(70107)(1)水月无间加伤害	水月无间	伤害提高30%	1	
70108	1	1522	1	1	1	(70108)(1)水月无间瞬发	水月无间	下一个运功招式无需运功	1	
70109	1	3001	1	1	1	(70109)(1)乱洒青荷	乱洒青荷	下一个【傍身招式】附带【兰摧玉折】	1	
70111	1	3001	1	1	1	(70111)(1)乱洒加会心	乱洒青荷	会心率提高30%	1	
70112	1	100487	1	1	1	(70112)(1)生风	生风	移动速度提高10%	1	
70114	1	100488	1	1	1	(70114)(1)梦歌	梦歌	破防率提高10%	1	
70116	1	422	1	1	1	(70116)(1)无相诀	悟·无相诀	受到的伤害降低50%	1	7
70116	2	422	1	1	1	(70116)(2)无相诀	悟·无相诀	受到的伤害降低80%，急速等级提高20%	1	1
70117	1	1452	1	1	1	(70117)(1)移动端_吞日月_玩家免控	免疫控制	不受招式控制，可以被击退和被拉	1	
70119	1	1445	1	1	1	(70119)(1)移动端_吞日月_禁轻功	吞日月	无法施展轻功	1	
70122	1	8540	1	1	1	(70122)(1)	伤害提高10%	伤害提高10%	1	1
70123	1	629	1	1	1	(70123)(1)	定身	定身	1	
70126	1	2933	1	1	1	(70126)(1)	会心	会心率提高5%，会心伤害提高10%	1	1
70128	1	620	1	1	1	(70128)(1)	伤害化解	化解受到的伤害	1	2
70129	1	610	1	1	1	(70129)(1)	移动端_凭虚御风_残页_4秒内聂云无CD	移动端_凭虚御风_残页_4秒内聂云无CD	1	4
70130	1	621	1	1	1	(70130)(1)	移动端_凭虚御风_断篇_监听闪避事件	移动端_凭虚御风_断篇_监听闪避事件	1	3
70131	1	0	1	1	1	(70131)(1)	移动端_凭虚御风_闪避	移动端_凭虚御风_闪避	1	2
70132	1	0	1	1	1	(70132)(1)	移动端_转乾坤_断篇_伤害化解及减伤	移动端_转乾坤_断篇_伤害化解及减伤	1	2
70133	1	0	1	1	1	(70133)(1)	移动端_剑飞惊天_断篇_眩晕	移动端_剑飞惊天_断篇_眩晕	1	8
70134	1	70134	1	1	1	(70134)(1)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高1%	0	3
70134	2	70134	1	1	1	(70134)(2)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高2%	0	3
70134	3	70134	1	1	1	(70134)(3)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高3%	0	3
70134	4	70134	1	1	1	(70134)(4)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高4%	0	3
70134	5	70134	1	1	1	(70134)(5)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高5%	0	3
70134	6	70134	1	1	1	(70134)(6)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高6%	0	3
70134	7	70134	1	1	1	(70134)(7)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高7%	0	3
70134	8	70134	1	1	1	(70134)(8)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高8%	0	3
70134	9	70134	1	1	1	(70134)(9)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高9%	0	3
70134	10	70134	1	1	1	(70134)(10)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高10%	0	3
70134	11	70134	1	1	1	(70134)(11)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高11%	0	3
70134	12	70134	1	1	1	(70134)(12)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高12%	0	3
70134	13	70134	1	1	1	(70134)(13)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高13%	0	3
70134	14	70134	1	1	1	(70134)(14)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高14%	0	3
70134	15	70134	1	1	1	(70134)(15)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高15%	0	3
70134	16	70134	1	1	1	(70134)(16)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高16%	0	3
70134	17	70134	1	1	1	(70134)(17)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高17%	0	3
70134	18	70134	1	1	1	(70134)(18)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高18%	0	3
70134	19	70134	1	1	1	(70134)(19)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高19%	0	3
70134	20	70134	1	1	1	(70134)(20)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高20%	0	3
70134	21	70134	1	1	1	(70134)(21)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高21%	0	3
70134	22	70134	1	1	1	(70134)(22)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高22%	0	3
70134	23	70134	1	1	1	(70134)(23)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高23%	0	3
70134	24	70134	1	1	1	(70134)(24)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高24%	0	3
70134	25	70134	1	1	1	(70134)(25)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高25%	0	3
70134	26	70134	1	1	1	(70134)(26)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高26%	0	3
70134	27	70134	1	1	1	(70134)(27)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高27%	0	3
70134	28	70134	1	1	1	(70134)(28)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高28%	0	3
70134	29	70134	1	1	1	(70134)(29)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高29%	0	3
70134	30	70134	1	1	1	(70134)(30)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高30%	0	3
70134	31	70134	1	1	1	(70134)(31)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高31%	0	3
70134	32	70134	1	1	1	(70134)(32)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高32%	0	3
70134	33	70134	1	1	1	(70134)(33)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高33%	0	3
70134	34	70134	1	1	1	(70134)(34)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高34%	0	3
70134	35	70134	1	1	1	(70134)(35)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高35%	0	3
70134	36	70134	1	1	1	(70134)(36)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高36%	0	3
70134	37	70134	1	1	1	(70134)(37)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高37%	0	3
70134	38	70134	1	1	1	(70134)(38)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高38%	0	3
70134	39	70134	1	1	1	(70134)(39)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高39%	0	3
70134	40	70134	1	1	1	(70134)(40)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高40%	0	3
70134	41	70134	1	1	1	(70134)(41)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高41%	0	3
70134	42	70134	1	1	1	(70134)(42)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高42%	0	3
70134	43	70134	1	1	1	(70134)(43)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高43%	0	3
70134	44	70134	1	1	1	(70134)(44)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高44%	0	3
70134	45	70134	1	1	1	(70134)(45)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高45%	0	3
70134	46	70134	1	1	1	(70134)(46)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高46%	0	3
70134	47	70134	1	1	1	(70134)(47)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高47%	0	3
70134	48	70134	1	1	1	(70134)(48)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高48%	0	3
70134	49	70134	1	1	1	(70134)(49)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高49%	0	3
70134	50	70134	1	1	1	(70134)(50)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高50%	0	3
70134	51	70134	1	1	1	(70134)(51)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高51%	0	3
70134	52	70134	1	1	1	(70134)(52)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高52%	0	3
70134	53	70134	1	1	1	(70134)(53)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高53%	0	3
70134	54	70134	1	1	1	(70134)(54)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高54%	0	3
70134	55	70134	1	1	1	(70134)(55)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高55%	0	3
70134	56	70134	1	1	1	(70134)(56)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高56%	0	3
70134	57	70134	1	1	1	(70134)(57)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高57%	0	3
70134	58	70134	1	1	1	(70134)(58)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高58%	0	3
70134	59	70134	1	1	1	(70134)(59)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高59%	0	3
70134	60	70134	1	1	1	(70134)(60)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高60%	0	3
70134	61	70134	1	1	1	(70134)(61)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高61%	0	3
70134	62	70134	1	1	1	(70134)(62)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高62%	0	3
70134	63	70134	1	1	1	(70134)(63)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高63%	0	3
70134	64	70134	1	1	1	(70134)(64)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高64%	0	3
70134	65	70134	1	1	1	(70134)(65)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高65%	0	3
70134	66	70134	1	1	1	(70134)(66)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高66%	0	3
70134	67	70134	1	1	1	(70134)(67)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高67%	0	3
70134	68	70134	1	1	1	(70134)(68)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高68%	0	3
70134	69	70134	1	1	1	(70134)(69)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高69%	0	3
70134	70	70134	1	1	1	(70134)(70)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高70%	0	3
70134	71	70134	1	1	1	(70134)(71)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高71%	0	3
70134	72	70134	1	1	1	(70134)(72)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高72%	0	3
70134	73	70134	1	1	1	(70134)(73)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高73%	0	3
70134	74	70134	1	1	1	(70134)(74)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高74%	0	3
70134	75	70134	1	1	1	(70134)(75)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高75%	0	3
70134	76	70134	1	1	1	(70134)(76)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高76%	0	3
70134	77	70134	1	1	1	(70134)(77)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高77%	0	3
70134	78	70134	1	1	1	(70134)(78)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高78%	0	3
70134	79	70134	1	1	1	(70134)(79)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高79%	0	3
70134	80	70134	1	1	1	(70134)(80)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高80%	0	3
70134	81	70134	1	1	1	(70134)(81)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高81%	0	3
70134	82	70134	1	1	1	(70134)(82)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高82%	0	3
70134	83	70134	1	1	1	(70134)(83)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高83%	0	3
70134	84	70134	1	1	1	(70134)(84)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高84%	0	3
70134	85	70134	1	1	1	(70134)(85)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高85%	0	3
70134	86	70134	1	1	1	(70134)(86)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高86%	0	3
70134	87	70134	1	1	1	(70134)(87)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高87%	0	3
70134	88	70134	1	1	1	(70134)(88)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高88%	0	3
70134	89	70134	1	1	1	(70134)(89)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高89%	0	3
70134	90	70134	1	1	1	(70134)(90)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高90%	0	3
70134	91	70134	1	1	1	(70134)(91)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高91%	0	3
70134	92	70134	1	1	1	(70134)(92)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高92%	0	3
70134	93	70134	1	1	1	(70134)(93)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高93%	0	3
70134	94	70134	1	1	1	(70134)(94)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高94%	0	3
70134	95	70134	1	1	1	(70134)(95)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高95%	0	3
70134	96	70134	1	1	1	(70134)(96)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高96%	0	3
70134	97	70134	1	1	1	(70134)(97)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高97%	0	3
70134	98	70134	1	1	1	(70134)(98)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高98%	0	3
70134	99	70134	1	1	1	(70134)(99)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高99%	0	3
70134	100	70134	1	1	1	(70134)(100)移动端_增益_移动速度提高_主角通用	移动速度提高	移动速度提高100%	0	3
70135	1	647	1	1	1	(70135)(1)流血Dot_3层	流血	每2秒受到外功伤害	1	11
70138	1	646	1	1	1	(70138)(1)铁牢_定军残页_小队无威胁	定军	施展招式不造成威胁	1	
70139	1	646	0	1	1	(70139)(1)铁牢_定军_强制目标	定军	强制目标	1	
70140	1	649	1	1	1	(70140)(1)铁牢_定军断篇_外功防御提高	定军·断篇	外功防御提高18%	1	
70142	1	2992	1	1	1	(70142)(1)铁牢_突断篇_减伤30%	金甲	受到的所有伤害降低30%	1	
70143	1	2991	1	1	1	(70143)(1)铁牢_龙牙残页_攻击伤害降低7.5%	虚弱	伤害降低7.5%	1	
70145	1	1456	1	1	1	(70145)(1)铁牢_御_格挡效果	御	每层化解一次伤害	1	
70147	1	1458	1	1	1	(70147)(1)铁牢_沧月残页_攻击力提升10%	沧月	攻击力提升10%	1	
70148	1	14126	1	1	1	(70148)(1)铁牢_沧月断篇_30%血量护盾	沧月·断篇	化解伤害	1	
70149	1	654	1	1	1	(70149)(1)铁牢_疾如风残页_掠如火自身增加仇恨	掠如火	自身攻击造成额外75%威胁	1	
70150	1	2994	1	1	1	(70150)(1)铁牢_疾如风残页_掠如火团队无威胁	引羌笛	施展招式不造成威胁	1	
70151	1	656	1	1	1	(70151)(1)铁牢_疾如风_免控	疾如风	自身免疫控制	1	
70152	1	652	1	1	1	(70152)(1)铁牢_疾如风断篇_守如山减伤80%	守如山	受到的伤害降低80%	1	
70154	1	100570	1	1	1	(70154)(1)铁牢_奇穴_百折_小队增伤10%	百折	伤害提高10%	1	
70155	1	647	1	1	1	(70155)(1)铁牢_奇穴_强化破风	破风	外功防御等级降低	1	
70156	1	2991	1	1	1	(70156)(1)铁牢_奇穴_强化虚弱	虚弱	伤害降低10%	1	
70157	1	100573	1	1	1	(70157)(1)铁牢_奇穴_御劲提高10%	旗渊	御劲提高10%	1	
70160	1	7513	1	1	1	(70160)(1)铁牢_奇穴_号令三军实际效果	号令三军	受到“号令三军”鼓舞，每层提高无双值240点	1	
70161	1	70161	1	1	1	(70161)(1)移动端_增益_伤害提高_主角通用	伤害提高	伤害提高1%	0	1
70161	2	70161	1	1	1	(70161)(2)移动端_增益_伤害提高_主角通用	伤害提高	伤害提高2%	0	1
70161	3	70161	1	1	1	(70161)(3)移动端_增益_伤害提高_主角通用	伤害提高	伤害提高3%	0	1
70161	4	70161	1	1	1	(70161)(4)移动端_增益_伤害提高_主角通用	伤害提高	伤害提高4%	0	1
70161	5	70161	1	1	1	(70161)(5)移动端_增益_伤害提高_主角通用	伤害提高	伤害提高5%	0	1
70161	6	70161	1	1	1	(70161)(6)移动端_增益_伤害提高_主角通用	伤害提高	伤害提高6%	0	1
70161	7	70161	1	1	1	(70161)(7)移动端_增益_伤害提高_主角通用	伤害提高	伤害提高7%	0	1
70161	8	70161	1	1	1	(70161)(8)移动端_增益_伤害提高_主角通用	伤害提高	伤害提高8%	0	1
70161	9	70161	1	1	1	(70161)(9)移动端_增益_伤害提高_主角通用	伤害提高	伤害提高9%	0	1
70161	10	70161	1	1	1	(70161)(10)移动端_增益_伤害提高_主角通用	伤害提高	伤害提高10%	0	1
70161	11	70161	1	1	1	(70161)(11)移动端_增益_伤害提高_主角通用	伤害提高	伤害提高11%	0	1
70161	12	70161	1	1	1	(70161)(12)移动端_增益_伤害提高_主角通用	伤害提高	伤害提高12%	0	1
70161	13	70161	1	1	1	(70161)(13)移动端_增益_伤害提高_主角通用	伤害提高	伤害提高13%	0	1
