ID	Name	Useage	FunctionType	RepresentPos	RepresentID	AppendType	DetachType	BuffType	Level	Intensity	IsStackable	MaxStackNum	Count	Interval	Hide	Exclude	Save	OnManaShield	OnFight	OnHorse	OnTerrain	FormationLeader	ScriptFile	GlobalExclude	UniqueTarget	CanCancel	BeginAttrib1	BeginValue1A	BeginValue1B	BeginAttrib2	BeginValue2A	BeginValue2B	BeginAttrib3	BeginValue3A	BeginValue3B	BeginAttrib4	BeginValue4A	BeginValue4B	BeginAttrib5	BeginValue5A	BeginValue5B	BeginAttrib6	BeginValue6A	BeginValue6B	BeginAttrib7	BeginValue7A	BeginValue7B	BeginAttrib8	BeginValue8A	BeginValue8B	BeginAttrib9	BeginValue9A	BeginValue9B	BeginAttrib10	BeginValue10A	BeginValue10B	BeginAttrib11	BeginValue11A	BeginValue11B	BeginAttrib12	BeginValue12A	BeginValue12B	BeginAttrib13	BeginValue13A	BeginValue13B	BeginAttrib14	BeginValue14A	BeginValue14B	BeginAttrib15	BeginValue15A	BeginValue15B	ActiveAttrib1	ActiveValue1A	ActiveValue1B	ActiveAttrib2	ActiveValue2A	ActiveValue2B	EndTimeAttrib1	EndTimeValue1A	EndTimeValue1B	EndTimeAttrib2	EndTimeValue2A	EndTimeValue2B	IsCountable	DecayType	MoveStateMask	MapBanMask	IsOffLineClock	CanAccumulate	SrcDistance	InSprint	InParkour	InSlideSprint	InFollow	CancelByUseItem	MapInvalidMask	IsCombatBuff	MinInterval	ClearUnderWater	MoveStateMask2	ShapeShiftInvalid	MaxInterval	ActiveCoefficient	CanBeSteal	NeedSync	InBirdMove	CanTransfer	CostSingleStack	MorphInvalid	ValidByLevel	RLActions	Coexist
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	29	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	58												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	30	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	60												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70020	悟 · 任驰骋_免控	406	Normal	Body	0	1903	0	Invalid	1	80	0	1	1	80	0	1	1	None	Any	Any	Any	0		1	0	1	atImmunity	2		atImmunity	3		atImmunity	4		atImmunity	6		atImmunity	8		atImmunity	11		atImmunity	7		atKnockedDownRate	-1024		atImmuneSkillMove	1		atMountingRate	1024																														-1	3758030846		0			Any	Any	Any	Any				80		63	1	80	1	0	1	Any						
70020	悟 · 任驰骋_免控	406		Body	0	1903	0		2	81	0	1	1	160	0	1	1							1	0	1	atImmunity	2		atImmunity	3		atImmunity	4		atImmunity	6		atImmunity	8		atImmunity	11		atImmunity	7		atKnockedDownRate	-1024		atImmuneSkillMove	1		atMountingRate	1024																															3758030846												160		63	1	160	1	0	1							
70021	悟 · 龙吟_受到的外功伤害提高3%	406	Damage	Body	0	70021	0		1	1	0	1	1	224	0	1	1							1	0	0	atPhysicsDamageCoefficient	31																																																										3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_受到的外功伤害提高4%	406	Damage	Body	0	70021	0		2	1	0	1	1	224	0	1	1							1	0	0	atPhysicsDamageCoefficient	41																																																										3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		3	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-50	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		4	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-60	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		5	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-69	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		6	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-79	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		7	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-90	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		8	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-99	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		9	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-108	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		10	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-120	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		11	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-128	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		12	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-138	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		13	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-147	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		14	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-157	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		15	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-166	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		16	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-177	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		17	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-186	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		18	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-195	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		19	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-205	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		20	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-216	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		21	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-225	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		22	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-236	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		23	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-244	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		24	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-255	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		25	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-264	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		26	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-273	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		27	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-282	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		28	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-291	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		29	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-300	0																																																									3758030846												224		63	1	224	1	0	1							
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		30	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-1150	0																																																									3758030846												224		63	1	224	1	0	1							
70023	移动端_繁音急节_基础效果	405		Body		70023	0		1	3	0	1	1	160	0	1	1							1	0	1	atSetNextBuffCount	20		atCallSubBuff	70161	10	atSetNextBuffCount	20		atCallSubBuff	70345	20	atSetNextBuffCount	20		atCallSubBuff	70170	30																																										3758030846												160		63	1	160	1	1	1				1		64	
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	1	1	0	1	6	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	10	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	2	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	11	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	3	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	12	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	4	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	13	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	5	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	14	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	6	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	15	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	7	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	16	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	8	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	17	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	9	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	18	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	10	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	19	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	11	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	20	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	12	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	21	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	13	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	22	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	14	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	23	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	15	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	24	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	16	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	25	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	17	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	26	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	18	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	27	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	19	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	28	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	20	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	29	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70024	移动端_翔鸾舞柳_基础回血	405	Normal	Body	0	70024	7	Invalid	21	1	0	1	5	48	0	0	1	None	Any	Any	Any	0		1	0	1																																														atCallTherapy	30	0											-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
