SkillName	SkillID	Design_Belong	Design_Effect	MaxLevel	KindType	FunctionType	UIType	BelongKungfu	BelongSchool	CastMode	WeaponRequest	IsCostAmmo	CostItemType	CostItemIndex	MountRequestType	MountRequestDetail	MountType	IsMountAble	IsPassiveSkill	IsChannelSkill	IsExpSkill	IsExactHit	IsInstinct	IsAutoTurn	CauseAbradeEquipment	CauseBeatBreak	CauseBeatBack	HasCriticalStrike	SkillEventMask1	SkillEventMask2	SkillCastFlag	UseCastScript	Use3DObstacle	CheckReachable	IgnorePositiveShield	IgnoreNegativeShield	NeedOutOfFight	SelfOnFear	SelfHorseStateRequest	TargetTypePlayer	TargetTypeNpc	TargetRelationNone	TargetRelationSelf	TargetRelationAlly	TargetRelationEnemy	TargetRelationDialog	TargetRelationNeutrality	TargetRelationParty	TargetRelationRaid	TargetHorseStateRequest	TargetOnFear	AutoSelectTarget	NPCWeaponType	CommonSkillActiveMode	IsBindCombatTag	EffectPlayType	ScriptFile	_ScriptFileHashID	EffectType	CheckBindBuff	MountRequestDetailLevel	CastMask	SelfMoveStateMask	TargetMoveStateMask	RecipeType	RecipeTagMask	MapBanMask	SkillMark	SelfBackupMoveStateMask	TargetRelationMentor	TargetRelationApprentice	KungfuMountID	HorseMask	PetTemplateID	TargetNpcSpeciesMask	SelfSprintStateRequest	SelfTerrainStateRequest	SelfFollowStateRequest	IgnoreCamp	TargetFollowStateRequest	IsCheckStealth	SelfMoveStateMask2	SelfBackupMoveStateMask2	TargetMoveStateMask2	Pos	CanReverse	CanCastOnTower	TargetRelationTeamGroup	TargetJumpCountMask	UseEarlyWarningScript	TargetFollowTypeRequest	IgnoreSilence	LongRange	AOE	AbradeEquipRate	UseSkillCoefficient	RangePutOpti	IgnoreSelectCheck	BelongDynamicGroupID	PlatformType	SkillCoefficient	DotCoefficient	SurplusCoefficient	NeedCheckSkillSlot
移动端_人剑合一	100013	测试技能	直接伤害技能	10	Physics	Normal	1	100009	3	CasterArea	3	0	Invalid	0	3	100389	0	0	0	0	1	0	0	0	1	0	0	1	6	0	0	0	1	0	0	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	纯阳\移动端_太虚剑意_技能\移动端_人剑合一.lua		Neutral	0	0	0	2214609150	2621341694		68	0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0	1	0	0			Any	0		1	1024	1		0		2	492	0	1886	1
移动端_八荒归元_贰式	100014	测试技能	直接伤害技能	10	Physics	Normal	1	100009	3	Column	3	0	Invalid	0	3	100389	0	0	0	1	1	0	0	0	0	0	0	1	32770	0	0	0	1	0	0	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	纯阳\移动端_太虚剑意_技能\移动端_八荒归元_贰式.lua		Neutral	0	0	0	2214609102	2621341694		0	0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0	1	0	0			Any	0		1		1		0		2				
移动端_行剑千风	100015	测试技能	直接伤害技能	1	Physics	Normal	1	100009	3	PointArea	3	0	Invalid	0	3	100389	0	0	0	1	1	0	0	1	1	0	0	1	32770	0	0	0	1	0	0	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	纯阳\移动端_太虚剑意_技能\移动端_行剑千风.lua		Neutral	0	0	0	2215264462	2621341694		16	0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0			Any	0		1	1024	1		0		2				
移动端_惊天道	100016	测试技能	直接伤害技能	10	Physics	Damage	1	100009	3	PointArea	3	0	Invalid	0	3	100389	0	0	0	0	1	1	0	0	1	0	0	1	6	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	纯阳\移动端_太虚剑意_技能\移动端_惊天道.lua		Harmful	0	0	0	2214609150	2621341694		68	0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0			Any	0		1	1024	1		0		2	120	0	0	1
移动端_碎星辰	100017	测试技能	直接伤害技能	10	Physics	Normal	1	100009	3	PointArea	3	0	Invalid	0	3	100389	0	0	0	0	1	0	0	0	1	0	0	1	6	0	0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	纯阳\移动端_太虚剑意_技能\移动端_碎星辰.lua		Harmful	0	0	0	2214609150	2621341694		68	0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0	1	0	0			Any	0		1	1024	1		0		2	112	0	0	1
移动端_紫气西迈	100018	测试技能	直接伤害技能	10	Physics	Damage	1	100009	3	CasterSingle	3	0	Invalid	0	3	100389	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	NotHorse	1	1	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	纯阳\移动端_太虚剑意_技能\移动端_紫气西迈.lua		Beneficial	0	0	0	2214609150	2214609150		64	0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0	1	0	0			Any	0		0		1		0		2	160			1
移动端_万剑归宗	100019	测试技能	直接伤害技能	10	Physics	Damage	1	100009	3	CasterArea	3	0	Invalid	0	3	100389	0	0	0	0	1	0	0	0	1	1	0	1	6	0	0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	纯阳\移动端_太虚剑意_技能\移动端_万剑归宗.lua		Harmful	0	0	0	2214609150	2621341694		68	0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0	1	0	0			Any	0		1	1024	1		0		2	700	0	2685	1
移动端_八荒归元	100020	测试技能	直接伤害技能	10	Physics	Damage	1	100009	3	PointArea	3	0	Invalid	0	3	100389	0	0	0	1	1	0	0	0	1	0	0	1	32770	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	纯阳\移动端_太虚剑意_技能\移动端_八荒归元.lua		Harmful	0	0	0	2214609102	2621341694		64	0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0	1	0	0			Any	0		1	1024	1		0		2				1
移动端_吞日月_贰式	100021	测试技能	直接伤害技能	10	Physics	Normal	1	100009	3	PointArea	3	0	Invalid	0	3	100389	0	0	0	0	1	0	0	1	1	0	0	1	6	0	0	0	0	0	0	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	纯阳\移动端_太虚剑意_技能\移动端_吞日月_贰式.lua		Neutral	0	0	0	2214609150	2621341694		4	0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0			Any	0		1	1024	1		0		2	288	0	1106	
移动端_坐忘离形	100022	测试技能	直接伤害技能	10	Physics	Damage	1	100009	3	CasterSingle	3	0	Invalid	0	3	100389	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	NotHorse	1	1	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	纯阳\移动端_太虚剑意_技能\移动端_坐忘离形.lua		Beneficial	0	0	0	2621341438	2621341438		64	0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0	1	0	0			Any	0		0		1		0		2	0	0	0	1
移动端_傲血_穿云	100024	测试技能	直接伤害技能	28	Physics	Damage	1	100026	1	Column	2	0	Invalid	0	1	100406	0	0	0	0	1	0	0	0	1	0	0	1	519	0	0	0	1	0	1	0	0	0	NotHoldHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	None	1	AniAndSfx	天策\移动端_傲血战意_技能\移动端_傲血_穿云.lua		Harmful	0	0	0	2214609150	2621341694	100024	1	0	1	0	0	0	0	1054977	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0			Any	0		1	1024	1		0		2	295		1130	1
移动端_傲血_雷行	100025	测试技能	直接伤害技能	28	Physics	Damage	1	100026	1	Column	2	0	Invalid	0	1	100406	0	0	0	0	1	1	0	0	1	0	0	1	519	0	0	0	1	0	1	0	0	0	NotHoldHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	None	1	AniAndSfx	天策\移动端_傲血战意_技能\移动端_傲血_雷行.lua		Harmful	0	0	0	2214609150	2621341694	100025	1	0	1	0	0	0	0	1054977	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0			Any	0		1	1024	1		0		2	274		1051	1
移动端_傲血战意_技能	100026	测试技能	直接伤害技能	1	Physics	Normal	1	0	1	TargetSingle	0	0	Invalid	0	1	100406	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	NotHorse	1	1	0	1	1	1	0	0	1	0	Any	1	0	0	Invalid	0	AniAndSfx	Default.lua		Neutral	0	0	0	2214609150	2621341694	0		0	1	0	0	0	0	0	0	132606	NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0	4294967295		Any	0				1		0		2	160			
移动端_傲血_龙吟	100027	测试技能	直接伤害技能	30	Physics	Damage	1	100026	1	CasterArea	2	0	Invalid	0	1	100406	0	0	0	0	1	1	0	0	1	0	0	1	519	536870912	0	0	1	0	1	0	0	0	NotHoldHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	None	1	AniAndSfx	天策\移动端_傲血战意_技能\移动端_傲血_龙吟.lua		Neutral	0	0	0	2214609150	2621341694	100027	68	0	1	0	0	0	0	1054977	0	132606	NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0	4294967295		Any	0		1	1024	1		0		2	348		1333	1
移动端_傲血_突	100028	测试技能	直接伤害技能	28	Physics	Normal	1	100026	1	PointArea	2	0	Invalid	0	1	100406	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	NotHoldHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	None	1	None	天策\移动端_傲血战意_技能\移动端_傲血_突.lua		Neutral	0	0	0	406093566	2621341694	100028	64	0	1	0	0	0	0	1054977	0	132606	NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0	4294967295		Any	0		1	1024	1		0		2	168			1
移动端_傲血_龙牙	100029	测试技能	直接伤害技能	29	Physics	Damage	1	100026	1	Column	2	0	Invalid	0	1	100406	0	0	0	0	1	1	0	0	1	0	0	1	519	0	0	0	1	0	1	0	0	0	NotHoldHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	None	1	AniAndSfx	天策\移动端_傲血战意_技能\移动端_傲血_龙牙.lua		Harmful	0	0	0	2214609150	2621341694	100029	68	0	1	0	0	0	0	1054977	0	132606	NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0	4294967295		Any	0		1	1024	1		0		2	495		1898	1
移动端_傲血_任驰骋	100030	测试技能	直接伤害技能	1	Physics	Normal	1	100026	1	CasterSingle	2	0	Invalid	0	1	100406	0	0	0	0	1	1	0	0	0	0	0	1	1024	0	0	1	1	0	0	1	0	0	NotHorse	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	None	1	SfxOnly	天策\移动端_傲血战意_技能\移动端_傲血_任驰骋.lua		Beneficial	0	0	0	2617540350	2617540350	0	64	0	1	0	0	0	0	0	0	132606	NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0	4294967295		Any	0				1		0		2	0		0	1
移动端_傲血_霹雳	100031	测试技能	直接伤害技能	13	Physics	Damage	1	100026	1	Column	2	0	Invalid	0	1	100406	0	0	0	0	1	1	0	0	1	0	0	1	519	0	0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	None	1	AniAndSfx	天策\移动端_傲血战意_技能\移动端_傲血_霹雳.lua		Harmful	0	0	0	2214609150	2621341694	100031	68	0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0	4294967295		Any	0		1	1024	1		0		2	628		2408	1
移动端_傲血_沧月	100032	测试技能	直接伤害技能	1	Physics	Normal	1	100026	1	CasterArea	2	0	Invalid	0	1	100406	0	0	0	0	1	1	0	0	1	0	0	1	519	0	0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	None	1	AniAndSfx	天策\移动端_傲血战意_技能\移动端_傲血_沧月.lua		Harmful	0	0	0	2214609150	2621341694	100032	68	0	1	0	0	0	0	0	0	132606	NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0	4294967295		Any	0		1	1024	1		0		2	365		1401	1
移动端_傲血_破坚阵	100033	测试技能	直接伤害技能	1	Physics	Normal	1	100026	1	Column	2	0	Invalid	0	1	100406	0	0	0	0	1	1	0	0	1	0	0	1	519	0	0	0	1	0	1	0	0	0	Horse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	None	1	AniAndSfx	天策\移动端_傲血战意_技能\移动端_傲血_破坚阵.lua		Neutral	0	0	0	2214609150	2621341694	100033	68	0	1	0	0	0	0	0	0	132606	NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0	4294967295		Any	0		1	1024	1		0		2	597		2292	1
移动端_傲血_战八方	100034	测试技能	直接伤害技能	18	Physics	Normal	1	100026	1	CasterArea	2	0	Invalid	0	1	100406	0	0	0	0	1	1	0	0	1	0	0	1	519	0	0	0	1	0	1	0	0	0	NotHoldHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	None	1	AniAndSfx	天策\移动端_傲血战意_技能\移动端_傲血_战八方.lua		Harmful	0	0	0	2214609150	2621341694	100034	68	0	1	0	0	0	0	1054977	0	132606	NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0	4294967295		Any	0		1	1024	1		0		2	464		1782	1
移动端_傲血_力破万钧	100035	测试技能	直接伤害技能	1	Physics	Normal	1	100026	1	CasterSingle	2	0	Invalid	0	1	100406	0	0	0	0	1	1	0	0	1	0	0	1	3	0	0	1	1	0	1	0	0	0	NotHorse	1	1	0	1	0	1	0	0	0	0	Any	1	0	0	None	1	AniAndSfx	天策\移动端_傲血战意_技能\移动端_傲血_力破万钧.lua		Neutral	0	0	0	268451982	268451982	0	16	0	1	0	0	0	0	0	0	132606	NotInSprint	Any	NotInFollow	0	Any	0	28	60	63	0		0	0	4294967295		Any	0			1024	1		0		2	160			0
移动端_傲血_破重围	100036	测试技能	直接伤害技能	1	Physics	Damage	1	100026	1	Column	2	0	Invalid	0	1	100406	0	0	0	0	0	0	0	0	1	0	0	1	519	524288	0	1	1	0	1	0	0	0	Horse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	None	1	AniAndSfx	天策\移动端_傲血战意_技能\移动端_傲血_破重围.lua		Harmful	0	0	0	2483044590	2621341694	0	16	0	1	0	0	0	0	1054977	0	132606	NotInSprint	Any	NotInFollow	0	Any	0	63	0	63	0		0				Any			1	1024	1				2	1703		6537	0
移动端_花间游_普攻	100037	测试技能	直接伤害技能	1	Physics	Normal	1	0	2	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	NotHorse	1	1	0	1	1	1	0	0	1	0	Any	1	0	0	Invalid	0	AniAndSfx	Default.lua		Neutral	0	0	0	2214609150	2621341694	0		0	1	0	0	0	0	0	0	132606	NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0	4294967295		Any	0			1024	1		0		2	160			
移动端_快雪时晴	100038	测试技能	直接伤害技能	10	NeutralMagic	Damage	1	100037	2	Column	6	0	Invalid	0	2	100408	0	0	0	1	1	0	1	0	1	0	1	1	32785	0	0	1	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	万花\移动端_花间游_普攻\移动端_快雪时晴.lua		Harmful	0	0	0	2214609102	2621341694	100038		0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0	1	0	0			Any	0	0	1	1024	1		0		2	344		1100	1
移动端_阳明指	100039	测试技能	直接伤害技能	10	NeutralMagic	Damage	1	100037	2	Column	6	0	Invalid	0	2	100408	0	0	0	0	1	0	1	0	1	0	0	1	1169	0	0	1	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	万花\移动端_花间游_普攻\移动端_阳明指.lua		Harmful	0	0	2	2214609150	2621341694	100039	1	0	1	16638	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0	1	0	0			Any	0	0	1	1024	1		0		2	525	0	1677	1
移动端_花间游_技能	100040	测试技能	直接伤害技能	1	Physics	Normal	1	0	2	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	NotHorse	1	1	0	1	1	1	0	0	1	0	Any	1	0	0	Invalid	0	AniAndSfx	Default.lua		Neutral	0	0	0	2214609150	2621341694	0		0	1	0	0	0	0	0	0	132606	NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0	4294967295		Any	0			1024	1		0		2	160			
移动端_兰摧玉折	100041	测试技能	直接伤害技能	10	NeutralMagic	Damage	1	100040	2	Column	6	0	Invalid	0	2	100408	0	0	0	0	1	0	1	0	1	0	0	1	1169	0	0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	万花\移动端_花间游_技能\移动端_兰摧玉折.lua		Harmful	0	0	32768	2214609150	2621341694	100041	68	0	1	16638	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0	1	0	0			Any	0	0	1	1024	1		0		2	379	0	1210	1
移动端_玉石俱焚	100043	测试技能	直接伤害技能	10	NeutralMagic	Damage	1	100040	2	PointArea	6	0	Invalid	0	2	100408	0	0	0	0	1	0	1	0	1	0	0	1	145	0	0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	万花\移动端_花间游_技能\移动端_玉石俱焚.lua		Harmful	0	0	0	2214609150	2621341694	100043	68	0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0	1	0	0			Any	0		1	1024	1		0		2	694	0	2218	1
移动端_星楼月影	100044	测试技能	直接伤害技能	1	NeutralMagic	Normal	1	100040	2	CasterSingle	6	0	Invalid	0	2	100408	0	0	0	0	1	1	1	0	0	0	0	1	17	0	0	0	0	0	0	1	0	0	NotHorse	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	万花\移动端_花间游_技能\移动端_星楼月影.lua		Beneficial	0	0	0	2621341438	2621341438	100044	64	0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0	0	0	0			Any	0		0		1		0		2	0		0	1
移动端_春泥护花	100045	测试技能	直接伤害技能	1	NeutralMagic	Normal	1	100040	2	CasterSingle	6	0	Invalid	0	2	100408	0	0	0	0	1	1	1	0	0	0	0	1	17	0	0	0	1	0	0	1	0	0	NotHorse	1	0	0	1	0	0	0	0	1	0	Any	1	0	0	Invalid	1	AniAndSfx	万花\移动端_花间游_技能\移动端_春泥护花.lua		Beneficial	1	0	0	2214609150	2621341694	100045	64	0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0	0	0	0			Any	0		0		1		0		2	0		0	1
移动端_太阴指	100046	测试技能	直接伤害技能	1	Leap	Fly	1	100040	2	PointRectangle	0	0	Invalid	0	2	0	0	0	0	0	1	1	1	0	0	0	0	1	65553	0	0	1	0	0	1	0	0	0	NotHorse	1	1	0	1	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	万花\移动端_花间游_技能\移动端_太阴指.lua		Neutral	0	0	0	2684255998	2621341438	0		0	1	0	1	1	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0	1	0	0			Any	0		1		1		0		2	229		0	1
